단어,빈도수
진저리,6
슬리퍼,6
포말,6
얼마간,6
백치,6
읍내,6
부담,6
스위치,6
좌,6
오른,6
봉투,6
진폐,6
파이프,6
증명사진,6
책꽂이,6
현상,6
일인,6
간판,6
걸레,6
뒷걸음질,6
한순간,6
계절,6
하룻밤,6
목적지,6
러,6
입자,6
뭉,6
더미,6
꼬,6
사망자,6
봉지,6
신발,6
나로,6
무작정,6
뇌까렸다,6
꼭대기,6
거절,6
덜,6
셔츠,6
찬물,6
외면,6
봉우리,6
목도리,6
귀퉁이,6
구석구석,6
염,6
페이지,6
좌절,6
액,6
겸,6
코너,6
혹,6
대기,6
일면,6
갈수록,6
인생,6
순식간,6
담요,6
축,6
상투,6
남녀,6
여태,6
밤바람,6
음식,6
처리,6
버티고,6
소년,6
넋두리,6
입원,6
인용,5
역무,5
원망,5
그리움,5
대조,5
보통,5
미인,5
방식,5
칸막이,5
언덕,5
배기,5
골짝,5
심,5
무적인,5
남편,5
수초,5
햇볕,5
눈동자,5
컷,5
대접,5
렌즈,5
곡선,5
일시,5
대낮,5
박스,5
주말,5
덕항산,5
멋쩍,5
오른손,5
통화,5
갈망,5
작정,5
활,5
겨우,5
공용,5
집들이,5
가량,5
순,5
간부,5
우유,5
실리,5
송곳니,5
손님,5
금고,5
체온,5
폭,5
무너,5
심상하,5
말끝,5
인정,5
덧,5
고립,5
전전,5
눈치,5
감지,5
혼잣말,5
넌,5
행방,5
생김새,5
반사,5
가능성,5
의문,5
것임,5
녹슨,5
몸매,5
개발,5
센티미터,5
무척,5
손목시계,5
가수,5
혈관,5
별,5
파출소,5
말투,5
식사,5
지기,5
뒤통수,5
후배,5
결혼식,5
문학동네,5
부스,5
위협,5
승강장,5
남짓,5
소문,5
그다음,5
월,5
증거,5
재떨이,5
심부름,5
출근,5
고정,5
교육,5
움,5
서도,5
경사,5
산업,5
프라이팬,5
끄덕,5
전기,5
화요일,5
속옷,5
얼핏,5
우체국,5
슈퍼,5
출신,5
캔,5
소름,5
작고,5
자락,5
굽,5
광원,5
재촉,5
외지,5
액체,5
포,5
다섯시,5
스,5
동이,5
동물,5
탁,5
한식,5
나머지,5
유인물,5
무명,5
푸른빛,5
스탠드,5
손잡이,5
참으로,5
참을성,5
흉,5
항의,5
얼레,5
다운,5
허름,5
냇물,5
바위,5
터미널,5
식은땀,5
달력,5
바삐,5
부부,5
집도,5
가죽,5
대형,5
희끗희끗,5
화전,5
열세,5
지연,5
공격,5
섬광,5
반발,5
자라,5
칠흑,5
왼쪽,5
장화,5
야기,5
골똘,5
날짜,5
스테이지,5
대의,5
본능,5
욕망,5
지은,5
떡,5
성과,5
합리화,5
깨달,5
광기,5
문화,5
가도,5
동생,5
볼품,5
만이,5
카메,5
라,5
시골,5
구입,5
포기,5
좌판,5
날름,5
층계,5
슬래브,5
밭,5
저기,5
불어,5
음영,5
므,5
빨래,5
포구,5
녜,5
물잔,5
혼란,5
십오,5
솜씨,5
추위,5
딸꾹질,5
양,5
우울,5
주발,5
김,5
불평,5
지폐,5
물줄기,5
자동,5
군대,5
비탈길,5
급,5
빌어먹을,5
전화선,5
붕괴,5
운전사,5
좀처럼,5
아예,5
소읍,5
기대,5
세면대,5
비죽,5
건너편,5
론,5
감촉,5
로만,5
함정,5
한자,5
비밀,5
귀가,5
어쩌다가,5
사체,5
기껏,5
등지,5
생기,5
캐비닛,5
벌린,5
통해,5
귀신,5
사위,5
엄살,5
나중,5
빛깔,5
포착,5
찰흙,5
문학상,5
열람,5
단어,5
꽁지머리,5
홀린,5
가치,5
캐,5
용케,5
혐오,5
밥상,5
앞서,5
피하,5
팔로,5
려고,5
화상,5
엄지손가락,5
어째서,5
햇,5
대충,5
금세,5
처지,5
꼴,5
귓속,5
