단어,빈도수
엎드려,10
소로,10
인사,10
제약회사,10
주소,10
의심,10
지대,10
웃어,10
가까스로,10
수십,10
튜브,10
맨발,10
평소,10
같아,10
자국,10
즈음,10
깊이,10
저었다,10
걸어가는,10
차라리,10
다소,10
내면,10
쓰지,10
둥,10
러,10
분노,10
마침,10
커다란,10
로부터,10
가리키며,10
먹은,10
중얼거렸다,10
전화기,10
푸른,10
저렇게,10
지르며,10
똑같은,10
오기,10
칠,10
두었던,10
식구,10
방바닥,10
밖에는,10
주변,10
모서리,10
절망,10
묻고,10
몰랐다,10
강,10
럼,10
얼어,10
모아,10
붙들고,10
나이트클럽,10
회색,10
있곤,10
하다가,10
선반,10
관심,10
취한,10
내리는,10
여자애,10
싶어,10
소녀,10
딸,10
졸음,10
두번째,10
집어,10
떨리는,10
수건,10
경멸,10
훨씬,10
분위기,10
치밀어,10
조각,10
곁,10
벌써,10
그만,10
번쩍,10
일찍,10
방파제,10
직장,10
죽음,10
꽤,10
열어,10
나가고,10
지점,10
이었고,10
서너,10
모조리,10
놓았다,10
기다리는,10
황곡시,10
내밀었다,10
접어,10
손아귀,10
사흘,10
별안간,10
정류장,10
넣어,10
만큼이나,10
끊임없이,10
손등,10
그러자,10
안도,10
멈추었다,9
예감,9
더군다나,9
불구,9
실망,9
4,9
윗,9
이라고는,9
이기,9
묵,9
싸늘한,9
방이,9
내리,9
개월,9
담,9
계산,9
올려다보았다,9
없습니다,9
하면서도,9
들어왔다,9
절,9
그러,9
만에,9
하다,9
눈밭,9
신고,9
할수,9
그러니까,9
아가씨,9
와서,9
피는,9
버리는,9
따,9
중요한,9
라고는,9
단호,9
빠르게,9
욕설,9
로비,9
거부,9
어지럽게,9
났다,9
내용,9
주로,9
이틀,9
척,9
나신,9
무곡,9
내렸다,9
높이,9
이른,9
맑은,9
찰나,9
해왔다,9
자연,9
놀림,9
습관,9
끊어,9
양말,9
걸터,9
검,9
이리저리,9
초조하게,9
일어서서,9
치는,9
취재원,9
잡,9
떴다,9
말로,9
않는다는,9
낼,9
도록,9
지나간,9
보낸,9
단서,9
다니는,9
운전,9
제주도,9
대가,9
멈추고,9
서늘한,9
안전모,9
모여,9
터질,9
똑똑히,9
같아요,9
워,9
드러난,9
섞인,9
근무,9
고속버스,9
위쪽,9
두어,9
버려,9
마는,9
미친,9
굵은,9
있었으며,9
하는데,9
배경,9
붙은,9
제안,9
유난히,9
자고,9
비로소,9
뒤따라,9
봄날,9
폐교,9
수없이,9
며칠,9
찾았다,9
횡단보도,9
옛날,9
끼어,9
일도,9
지나갔다,9
그래도,9
그다지,9
질렀다,9
맞은편,9
화가,9
가기,9
지방,9
싸,9
흩어져,9
보아,9
놓은,9
공부,9
인지도,9
인내,9
커튼,9
갱지,9
래,9
방안,9
여섯,9
한다면,9
밀,9
그저,9
친,9
과장,9
살의,9
였을까,9
것일,9
종이,9
좋아요,9
걸까,9
함부로,9
과정,9
바구니,9
캄캄한,9
은밀,9
덩,9
간격,9
바깥쪽,9
질끈,9
웃,9
자식,9
지냈던,9
수많은,9
끝내,9
여덟시,9
장작,9
음울한,9
나선,9
같지,9
동그란,9
토우,9
어려,9
감았다,9
흔들었다,9
나오지,9
청년,9
아까,9
장인,9
선생님,9
국도,9
카,9
전체,9
안방,9
작품,9
위치,9
깨닫고,9
피로한,9
백,9
인가가,9
한잔,9
터뜨렸다,9
발끝,9
드러났다,8
올려다보고,8
마련,8
연기,8
참이었다,8
바늘,8
지으며,8
노파,8
어두웠다,8
혹시,8
될까,8
들어갈,8
오래전,8
열기,8
필사,8
출입문,8
출구,8
른,8
까지도,8
벗은,8
썼다,8
웃지,8
값,8
무늬,8
일주일,8
마디,8
그대로,8
않도록,8
마친,8
해주었다,8
아홉시,8
철,8
지어,8
파카,8
몰라요,8
미리,8
간혹,8
우뚝,8
느티나무,8
여기저기,8
경험,8
파도,8
시야,8
골,8
구덩이,8
여직원,8
죄,8
등록증,8
플래시,8
옷장,8
해보지,8
아가,8
월세,8
잃은,8
··,8
끈적끈적한,8
가난한,8
오리,8
나오고,8
킬로미터,8
넘게,8
더구나,8
종종,8
올려,8
덮어,8
높은,8
놔두고,8
허물,8
겨드랑이,8
반면,8
한참,8
훑어,8
가라앉아,8
사라진,8
하려는,8
있었지만,8
붙였다,8
속도,8
고등학교,8
검정고시,8
돌아오는,8
찾지,8
갇혀,8
등뒤,8
저희,8
뜻밖,8
동시,8
블록,8
붙들었다,8
경,8
괜찮아,8
엉망,8
이전,8
또렷,8
텔레비전,8
도저히,8
타인,8
벌레,8
호흡,8
떨어진,8
뼈,8
였던,8
마신,8
벨,8
먹지,8
별다른,8
겼다,8
걸린,8
유리창,8
염색,8
직원,8
해서는,8
돌아왔다,8
동그랗게,8
바른,8
쓸,8
면도,8
삼켜,8
세우고,8
황성,8
차선,8
사진작가,8
질주,8
번째,8
기어,8
놀란,8
진행,8
끌,8
텅,8
있고,8
거짓말,8
꼬박,8
뜯어,8
주지,8
라이터,8
사무,8
해주고,8
찍고,8
없고,8
열시,8
실감,8
군,8
믿기지,8
중심,8
와락,8
빠진,8
아주머니,8
통로,8
철로,8
가리켰다,8
충격,8
내지,8
검댕,8
매미,8
인제,8
까마득히,8
연탄,8
묵직한,8
매달,8
세번,8
잡은,8
순,8
지역,8
걸어가고,8
수면,8
바라보며,8
이었는데,8
앙상한,8
손목,8
섞여,8
과도,8
대문,8
집은,8
소포,8
셔터,8
떠나는,8
가운,8
가파른,8
계,8
띄지,8
인도,8
중반,8
있었으나,8
작업복,8
낯,8
소매,8
않는다고,8
마시고,8
들릴,8
얼음,8
고백,8
힘주어,8
절대로,8
나라,8
이었지만,8
체,8
어가,8
초꽃,8
아부지,8
여인숙,8
연신,8
이의,8
달리기,8
밝,8
했다고,8
몸집,8
펼쳐진,8
모르고,8
현,8
떨어졌다,8
환멸,8
있었기,8
운동화,8
검지,8
월급,8
방울,8
기회,8
넣은,8
빠져,8
그러면,8
꼬리,8
숨소리,8
메고,8
웅크려,8
지옥,8
두려움,8
느끼며,8
확신,8
같아서,8
밀고,8
잘못,8
분간,8
옥탑방,7
쉬었다,7
현관문,7
새로운,7
의미,7
외딴,7
추측,7
지키고,7
흔들어,7
비롯,7
경악,7
앞장서,7
영,7
웃음소리,7
같다,7
보라,7
진심,7
정면,7
장편소설,7
아니다,7
최선,7
깊고,7
숲,7
쥐어,7
뿌리,7
졸업,7
금은,7
않았다면,7
좋아,7
발자국,7
눈보라,7
내려갔다,7
충동,7
여자아이,7
셋,7
뉴스,7
토악질,7
정적,7
손길,7
일일이,7
교육청,7
도대체,7
트럭,7
번역,7
연민,7
튀어나온,7
모로,7
변두리,7
팔뚝,7
기묘한,7
점포,7
자동차,7
시멘트,7
주기,7
소원,7
떨쳐,7
빨려,7
전선,7
난로,7
노력,7
있어야,7
아르바이트,7
걷는,7
결혼,7
불러,7
잡지사,7
결,7
반드시,7
갈색,7
관찰,7
리지,7
트,7
물기,7
결박,7
나타났다,7
주저,7
섞어,7
물음,7
갱목,7
장형,7
설령,7
지하방,7
아세요,7
푼,7
녘,7
대야,7
가깝게,7
어찌,7
젠장,7
했어,7
팔십,7
부드럽게,7
어때요,7
물결,7
붉게,7
읽는,7
발파,7
다해,7
동의,7
된다고,7
라서,7
빈손,7
숨어,7
보도블록,7
저편,7
쓰,7
물러섰다,7
않았었다,7
뒤편,7
곤로,7
신호,7
밤새,7
않지만,7
재빨리,7
오른,7
느닷없이,7
탈,7
흔들며,7
별로,7
과의,7
옛,7
나아갔다,7
용기,7
이었다고,7
군데,7
있도록,7
광,7
비키니,7
